DEFECT,WMC,DIT,NOC,CBO,RFC,LCOM,Ca,Ce,NPM,LCOM3,LOC,DAM,MOA,MFA,CAM,IC,CBM,AMC
yes,16,1,0,2,17,120,1,1,15,1.0667,97,1,1,0,0.2625,0,0,5
yes,16,1,0,2,17,120,1,1,7,1.0667,81,0.9,1,0,0.1875,0,0,2.8125
yes,1,1,0,0,2,0,0,0,1,2,11,0.2,0,0,1,0,0,5
yes,3,1,0,4,4,3,3,1,3,1.5,30,0.1667,0,0,0.5556,0,0,5
yes,15,1,0,4,16,105,1,3,10,1.0714,101,0.7273,0,0,0.3833,0,0,5
yes,4,0,0,1,5,6,0,1,4,1.3333,25,0,0,0,0.5,0,0,0
yes,3,2,0,5,4,3,5,0,2,1.5,56,0.0263,37,0.8667,0.5556,0,0,5
yes,5,1,0,0,6,10,0,0,2,1.25,31,0,0,0,0.4333,0,0,5
yes,6,1,0,1,7,15,1,1,3,1.2,37,0,0,0,0.4167,0,0,5
yes,6,1,0,1,7,15,1,1,3,1.2,37,0,0,0,0.4167,0,0,5
yes,14,1,0,1,15,91,1,0,14,1.0769,87,1,0,0,0.2857,1,1,5
yes,44,1,0,7,45,946,1,7,29,1.0233,291,0.9091,5,0,0.1379,0,0,3.8636
yes,4,1,0,6,5,6,4,2,1,1.3333,25,0,1,0,0.5,0,0,5
yes,4,1,0,3,5,6,2,1,3,1.3333,34,0,1,0,0.5833,0,0,5
yes,20,1,0,11,21,190,0,11,5,1.0526,146,0.6538,4,0,0.13,0,0,5
yes,11,1,0,1,12,55,0,1,7,1.1,68,0,0,0,0.3636,0,0,5
yes,16,1,0,5,17,120,2,4,10,1.0667,114,1,2,0,0.1932,0,0,5
yes,9,1,0,0,10,36,0,0,8,1.125,64,0.1,1,0,0.3492,0,0,5
yes,14,1,0,2,15,91,1,1,14,1.0769,85,1,1,0,0.3571,0,0,5
yes,36,0,0,1,37,630,0,1,36,1.0286,236,0.75,0,0,1,0,0,0
yes,18,1,0,1,19,153,0,1,11,1.0588,116,1,0,0,0.1667,0,0,5
yes,29,1,0,10,30,406,5,6,29,1.0357,88,0.75,0,0,0.3563,0,0,1.8966
yes,100,1,1,3,101,4950,1,2,98,1.0101,654,0.9815,0,0,0.4817,0,0,5
yes,42,1,0,3,43,861,2,3,19,1.0244,280,0,2,0,0.121,0,0,5
yes,17,1,0,3,18,136,3,1,15,1.0625,108,0.8333,1,0,0.2471,0,0,5
yes,2,1,0,0,3,1,0,0,2,2,18,0,0,0,1,0,0,5
yes,22,1,0,8,23,231,1,8,1,1.0476,147,0.3333,4,0,0.2479,0,0,5
yes,6,1,0,0,7,15,0,0,3,1.2,32,1,0,0,0.5833,0,0,4.1667
yes,15,1,0,1,16,105,0,1,5,1.0714,123,1,0,0,0.2381,0,0,5
yes,13,1,0,1,14,78,0,1,4,1.0833,84,1,1,0,0.1923,0,0,5
yes,41,1,0,9,42,820,5,5,37,1.025,237,0.8611,4,0,0.1729,0,0,3.9024
yes,41,1,0,4,42,820,0,4,19,1.025,303,0.6316,3,0,0.1187,0,0,5
yes,13,1,0,3,14,78,1,3,9,1.0833,92,0.7857,0,0,0.25,0,0,5
yes,34,0,0,3,35,561,1,2,30,1.0303,214,1,0,0,0.1373,0,0,0
yes,38,1,0,2,39,703,0,2,37,1.027,241,0.0769,0,0,0.1237,0,0,5
yes,17,1,0,0,18,136,0,0,13,1.0625,111,1,0,0,0.4118,0,0,4.7059
yes,15,1,0,3,16,105,3,2,6,1.0714,92,0,1,0,0.2667,0,0,5
yes,7,1,0,3,8,21,0,3,7,1.1667,52,0.6,3,0,0.1905,0,0,5
yes,16,1,0,0,17,120,0,0,11,1.0667,97,0,0,0,0.2188,0,0,5
yes,143,1,0,16,144,10153,8,12,129,1.007,909,0.7273,6,0,0.1259,0,0,4.8951
yes,13,0,0,2,14,78,0,2,5,1.0833,83,1,1,0,0.2,0,0,0
yes,38,1,0,2,39,703,0,2,37,1.027,241,0.0769,0,0,0.1237,0,0,5
yes,11,1,0,7,12,55,0,7,0,2,66,0,0,0,0.5,0,0,5
yes,6,1,0,2,7,15,1,1,6,1.2,37,1,1,0,0.5833,0,0,5
yes,17,1,0,4,18,136,2,2,6,1.0625,143,0.7805,0,0,0.2843,0,0,5
yes,4,1,0,4,5,6,1,3,4,1.3333,31,0,1,0,0.75,0,0,5
yes,11,1,0,1,12,55,0,1,10,1.1,67,1,0,0,0.3333,0,0,5
yes,10,1,0,5,11,45,3,2,5,1.1111,58,1,2,0,0.3375,0,0,4.5
yes,2,0,0,1,3,1,0,1,2,2,12,0,0,0,1,0,0,0
yes,15,1,0,1,16,105,1,1,7,1.0714,115,0,1,0,0.2222,0,0,5
yes,15,1,0,3,16,105,0,3,2,1.0714,95,1,0,0,0.1911,0,0,5
yes,119,1,0,0,120,7021,0,0,118,2,714,0,0,0,0.1981,0,0,5
yes,9,1,0,0,10,36,0,0,4,1.125,41,1,0,0,0.4722,0,0,3.3333
yes,40,1,0,2,41,780,1,2,6,1.0256,286,0.6087,1,0,0.1438,0,0,5
yes,17,1,2,11,18,136,9,3,11,1.0625,129,1,2,0,0.3203,0,0,4.1176
yes,11,1,0,3,12,55,3,0,4,1.1,81,0.6667,1,0,0.2626,0,0,5
yes,10,1,0,2,11,45,2,0,9,1.1111,71,0.3636,0,0,0.32,0,0,5
yes,23,1,0,4,24,253,2,2,22,1.0455,144,0.3333,0,0,0.1925,0,0,5
yes,7,1,0,1,8,21,1,0,7,1.1667,45,0,0,0,0.4286,0,0,5
yes,12,1,0,0,13,66,0,0,9,1.0909,85,0.7692,1,0,0.2222,0,0,5
yes,5,1,0,2,6,10,0,2,5,1.25,45,0.0667,1,0,0.5,0,0,5
yes,3,1,0,0,4,3,0,0,1,1.5,62,0.0227,0,0,0.5,0,0,5
yes,2,1,0,4,3,1,1,4,2,2,19,1,2,0,0.625,0,0,5
yes,5,1,0,4,6,10,4,0,5,1.25,48,0,0,0,0.3667,0,0,5
yes,85,1,1,1,86,3570,1,0,70,1.0119,497,1,0,0,0.0955,0,0,4.8235
yes,11,1,0,1,12,55,1,1,9,1.1,74,0.625,0,0,0.3333,0,0,5
yes,172,0,0,8,173,14706,0,8,122,1.0058,1059,0.1481,0,0,0.1213,0,0,0
yes,14,1,0,1,15,91,0,1,7,1.0769,95,1,0,0,0.3661,0,0,5
yes,12,1,0,5,13,66,2,3,7,1.0909,79,0.2857,1,0,0.3125,0,0,5
yes,4,0,0,4,5,6,0,4,1,1.3333,25,0,0,0,0.5,0,0,0
yes,213,1,0,18,214,22578,16,2,212,1.0047,261,0,0,0,0.2184,0,0,0.0235
yes,1,1,0,5,2,0,5,0,0,2,57,0,0,0,0,0,0,5
yes,5,1,0,0,6,10,0,0,1,1.25,21,1,0,0,0.4667,0,0,3
yes,5,1,0,3,6,10,2,1,2,1.25,42,0,1,0,0.45,0,0,5
yes,5,1,0,1,6,10,1,0,5,1.25,33,0,0,0,0.5,0,0,5
yes,4,1,0,2,5,6,1,1,2,1.3333,32,0,1,0,0.5833,0,0,5
yes,4,1,0,0,5,6,0,0,1,1.3333,25,0,0,0,0.5,0,0,5
yes,41,1,0,8,42,820,1,7,28,1.025,274,1,4,0,0.1907,0,0,5
yes,42,1,0,3,43,861,3,3,7,1.0244,268,0.125,6,0,0.119,0,0,5
yes,2,1,0,0,3,1,0,0,2,2,24,0,0,0,0.5,0,0,5
yes,54,1,1,3,55,1431,2,2,13,1.0189,367,0.814,2,0,0.116,0,0,5
yes,15,1,0,2,16,105,1,1,3,1.0714,109,1,2,0,0.2074,0,0,5
yes,26,1,0,3,27,325,0,3,24,1.04,160,0.75,1,0,0.1731,0,0,5
yes,18,0,0,2,19,153,1,1,14,1.0588,113,0.6,0,0,0.1616,0,0,0
yes,10,1,0,3,11,45,2,1,8,1.1111,65,0.8,0,0,0.3,0,0,5
yes,7,0,0,8,8,21,6,2,6,1.1667,46,0,0,0,0.3929,0,0,0
yes,3,1,0,2,4,3,2,0,3,1.5,29,0,0,0,0.5,0,0,5
yes,4,1,0,5,5,6,4,1,3,1.3333,26,0,0,0,0.5625,0,0,5
yes,38,1,0,2,39,703,0,2,37,1.027,241,0.0769,0,0,0.1237,0,0,5
yes,76,1,0,6,77,2850,3,4,18,1.0133,418,1,3,0,0.1543,0,0,3.5526
yes,181,1,0,17,182,16290,0,17,176,1.0056,1100,0.9286,6,0,0.1464,0,0,5
yes,14,1,0,3,15,91,0,3,12,1.0769,87,0.6667,0,0,0.3333,0,0,5
yes,50,1,0,4,51,1225,3,4,9,1.0204,321,0.1429,6,0,0.1113,0,0,5
yes,32,1,0,18,33,496,2,16,16,1.0323,212,0.95,4,0,0.1053,0,0,4.375
yes,27,1,0,3,28,351,1,2,25,1.0385,135,0.9444,2,0,1,0,0,3.3333
yes,2,1,0,0,3,1,0,0,2,2,15,0,0,0,0.6667,0,0,5
